Tahun,Bulan,Tanggal,GMSL,GMSL uncertainty
1880,1,15,-183.0,24.2
1880,2,15,-171.1,24.2
1880,3,15,-164.3,24.2
1880,4,15,-158.2,24.2
1880,5,15,-158.7,24.2
1880,6,15,-159.6,24.2
1880,7,15,-159.6,24.2
1880,8,15,-161.8,24.2
1880,9,15,-158.9,24.2
1880,10,15,-150.3,24.2
1880,11,15,-144.5,24.2
1880,12,15,-134.7,24.2
1881,1,15,-136.4,24.2
1881,2,15,-139.2,24.2
1881,3,15,-145.2,24.2
1881,4,15,-151.1,24.2
1881,5,15,-152.2,24.2
1881,6,15,-154.2,24.2
1881,7,15,-147.7,24.2
1881,8,15,-151.4,24.2
1881,9,15,-156.0,24.2
1881,10,15,-165.5,24.2
1881,11,15,-167.9,24.2
1881,12,15,-169.9,24.2
1882,1,15,-167.8,24.2
1882,2,15,-162.0,22.9
1882,3,15,-158.8,22.9
1882,4,15,-160.6,22.9
1882,5,15,-164.5,22.9
1882,6,15,-165.2,22.9
1882,7,15,-167.3,22.9
1882,8,15,-169.0,22.9
1882,9,15,-174.9,22.9
1882,10,15,-181.5,22.9
1882,11,15,-182.5,22.9
1882,12,15,-184.5,22.9
1883,1,15,-179.9,22.8
1883,2,15,-180.0,22.8
1883,3,15,-172.4,22.8
1883,4,15,-172.3,22.8
1883,5,15,-164.0,22.8
1883,6,15,-163.6,22.8
1883,7,15,-161.1,22.8
1883,8,15,-162.0,22.8
1883,9,15,-159.3,22.8
1883,10,15,-158.2,22.8
1883,11,15,-153.2,22.8
1883,12,15,-149.1,22.8
1884,1,15,-142.5,22.2
1884,2,15,-139.5,22.2
1884,3,15,-137.0,22.2
1884,4,15,-135.2,22.2
1884,5,15,-136.0,22.2
1884,6,15,-140.0,22.2
1884,7,15,-143.3,22.2
1884,8,15,-146.8,22.2
1884,9,15,-150.4,22.2
1884,10,15,-150.4,22.2
1884,11,15,-154.0,22.2
1884,12,15,-149.9,22.2
1885,1,15,-153.1,22.2
1885,2,15,-148.3,21.9
1885,3,15,-145.3,21.9
1885,4,15,-142.7,21.9
1885,5,15,-143.1,21.9
1885,6,15,-142.7,21.9
1885,7,15,-148.4,21.9
1885,8,15,-143.2,21.9
1885,9,15,-146.5,21.9
1885,10,15,-141.2,21.9
1885,11,15,-143.3,21.9
